issue,date,r1,r2,r3,r4,r5,b1,b2,sales,pool
20160927,2016-09-27,6,9,13,39,41,2,12,0,17000000
20160930,2016-09-30,17,35,37,43,44,2,10,0,130000000
20161004,2016-10-04,4,7,14,34,38,4,11,0,140796507
20161007,2016-10-07,2,12,20,27,30,9,11,0,155533572
20161011,2016-10-11,5,12,20,24,37,4,11,0,168085323
20161014,2016-10-14,7,13,19,31,34,1,11,0,17000000
20161018,2016-10-18,2,17,21,25,27,6,9,0,26452819
20161021,2016-10-21,9,20,23,44,48,8,10,0,39871819
20161025,2016-10-25,3,15,20,21,28,1,5,0,50108729
20161028,2016-10-28,10,16,19,23,43,2,8,0,17375733
20161101,2016-11-01,6,10,20,29,37,1,9,0,17000000
20161104,2016-11-04,7,11,12,44,48,3,7,0,30088611
20161108,2016-11-08,5,9,47,49,50,8,9,0,39336342
20161111,2016-11-11,3,22,23,38,49,2,9,0,17000000
20161115,2016-11-15,7,15,36,42,48,3,7,0,25643917
20161118,2016-11-18,3,12,27,32,47,6,8,0,38149039
20161122,2016-11-22,5,10,33,34,47,2,10,0,47367563
20161125,2016-11-25,5,11,17,23,28,10,11,0,61141778
20161129,2016-11-29,21,26,27,28,38,9,11,0,17000000
20161202,2016-12-02,6,11,23,31,32,2,12,0,29377167
20161206,2016-12-06,1,7,11,27,45,4,9,0,17000000
20161209,2016-12-09,6,12,28,37,40,1,5,0,29101354
20161213,2016-12-13,14,28,29,48,50,2,8,0,38164327
20161216,2016-12-16,6,10,30,41,45,4,11,0,51365465
20161220,2016-12-20,13,15,17,21,27,2,3,0,61653352
20161223,2016-12-23,4,16,20,39,46,2,5,0,17000000
20161227,2016-12-27,3,22,25,32,39,7,12,0,25251858
20161230,2016-12-30,8,10,22,29,47,1,3,0,17000000
20170103,2017-01-03,19,23,27,34,49,1,11,0,25365762
20170106,2017-01-06,10,14,18,21,49,9,11,0,37152275
20170110,2017-01-10,2,11,29,35,44,4,9,0,46366060
20170113,2017-01-13,3,7,16,26,50,4,7,0,61704973
20170117,2017-01-17,4,16,25,43,47,2,10,0,72166974
20170120,2017-01-20,10,17,27,31,49,3,5,0,81343946
20170124,2017-01-24,1,5,7,17,23,3,8,0,88587275
20170127,2017-01-27,17,20,28,45,48,5,9,0,17000000
20170131,2017-01-31,3,4,17,23,44,6,9,0,25880509
20170203,2017-02-03,3,4,15,46,50,5,9,0,17000000
20170207,2017-02-07,4,10,31,38,44,8,10,0,25508738
20170210,2017-02-10,7,21,26,35,43,2,9,0,37780528
20170214,2017-02-14,2,10,24,40,44,3,10,0,47141418
20170217,2017-02-17,19,25,33,36,48,2,9,0,17000000
