issue,date,r1,r2,r3,r4,r5,b1,sales,pool
20151007,2015-10-07,18,30,40,48,52,9,0,0
20151010,2015-10-10,12,27,29,43,68,1,0,0
20151014,2015-10-14,15,20,29,31,40,1,0,0
20151017,2015-10-17,48,49,57,62,69,19,0,0
20151021,2015-10-21,30,32,42,56,57,11,0,0
20151024,2015-10-24,20,31,56,60,64,2,0,0
20151028,2015-10-28,4,54,56,62,63,10,0,0
20151031,2015-10-31,9,20,25,47,68,7,0,0
20151104,2015-11-04,2,12,17,20,65,17,0,0
20151107,2015-11-07,7,16,25,50,53,15,0,0
20151111,2015-11-11,4,26,32,55,64,18,0,0
20151114,2015-11-14,14,22,37,45,66,5,0,0
20151118,2015-11-18,17,40,41,46,69,6,0,0
20151121,2015-11-21,37,47,50,52,57,21,0,0
20151125,2015-11-25,16,29,53,58,69,21,0,0
20151128,2015-11-28,2,6,47,66,67,2,0,0
20151202,2015-12-02,14,18,19,32,64,9,0,0
20151205,2015-12-05,13,27,33,47,68,13,0,0
20151209,2015-12-09,7,10,16,46,56,1,0,0
20151212,2015-12-12,2,14,19,30,62,22,0,0
20151216,2015-12-16,9,10,32,42,55,6,0,0
20151219,2015-12-19,28,30,41,59,68,10,0,0
20151223,2015-12-23,16,38,55,63,67,25,0,0
20151226,2015-12-26,27,40,44,59,65,20,0,0
20151230,2015-12-30,12,36,38,54,61,22,0,0
20160102,2016-01-02,5,6,15,29,42,10,0,0
20160106,2016-01-06,2,11,47,62,63,17,0,0
20160109,2016-01-09,16,19,32,34,57,13,0,0
20160113,2016-01-13,4,8,19,27,34,10,0,0
20160116,2016-01-16,3,51,52,61,64,6,0,0
20160120,2016-01-20,5,39,44,47,69,24,0,0
20160123,2016-01-23,22,32,34,40,69,19,0,0
20160127,2016-01-27,3,12,40,52,67,21,0,0
20160130,2016-01-30,5,12,16,31,43,18,0,0
20160203,2016-02-03,26,28,31,60,67,23,0,0
20160206,2016-02-06,4,13,31,36,52,8,0,0
20160210,2016-02-10,2,3,40,50,62,5,0,0
20160213,2016-02-13,7,15,18,19,36,20,0,0
20160217,2016-02-17,7,17,27,29,40,25,0,0
20160220,2016-02-20,11,12,15,16,54,25,0,0
20160224,2016-02-24,21,31,64,65,67,5,0,0
20160227,2016-02-27,10,11,21,22,53,18,0,0
20160302,2016-03-02,12,13,44,52,62,6,0,0
20160305,2016-03-05,3,27,34,59,69,19,0,0
20160309,2016-03-09,14,23,32,34,68,3,0,0
20160312,2016-03-12,11,28,50,57,62,23,0,0
20160316,2016-03-16,10,12,13,46,50,21,0,0
20160319,2016-03-19,11,23,43,54,60,3,0,0
20160323,2016-03-23,5,8,15,22,49,25,0,0
20160326,2016-03-26,11,23,42,52,68,6,0,0
20160330,2016-03-30,24,44,53,55,63,19,0,0
20160402,2016-04-02,9,28,30,40,61,3,0,0
20160406,2016-04-06,4,28,49,60,65,25,0,0
20160409,2016-04-09,14,22,23,41,61,9,0,0
20160413,2016-04-13,30,33,35,38,64,22,0,0
20160416,2016-04-16,3,18,25,32,51,3,0,0
20160420,2016-04-20,12,25,30,52,62,8,0,0
20160423,2016-04-23,19,35,46,59,62,13,0,0
20160427,2016-04-27,2,25,33,39,64,17,0,0
20160430,2016-04-30,3,12,16,32,34,14,0,0
20160504,2016-05-04,30,47,57,66,69,3,0,0
20160507,2016-05-07,5,25,26,44,66,9,0,0
20160511,2016-05-11,20,32,52,66,69,23,0,0
20160514,2016-05-14,13,27,47,64,65,9,0,0
20160518,2016-05-18,23,25,39,54,67,11,0,0
20160521,2016-05-21,5,7,9,23,32,26,0,0
20160525,2016-05-25,11,24,41,59,64,15,0,0
20160528,2016-05-28,6,33,34,58,59,12,0,0
20160601,2016-06-01,23,30,33,40,69,12,0,0
20160604,2016-06-04,16,20,22,43,64,17,0,0
20160608,2016-06-08,12,25,37,60,69,20,0,0
20160611,2016-06-11,20,27,36,41,58,7,0,0
20160615,2016-06-15,4,22,24,31,33,10,0,0
20160618,2016-06-18,2,23,41,53,63,11,0,0
20160622,2016-06-22,14,40,42,43,52,17,0,0
20160625,2016-06-25,3,27,36,56,69,25,0,0
20160629,2016-06-29,23,29,37,60,64,6,0,0
20160702,2016-07-02,10,34,39,59,63,4,0,0
20160706,2016-07-06,2,24,31,57,66,18,0,0
20160709,2016-07-09,10,28,32,61,64,12,0,0
20160713,2016-07-13,3,15,29,54,57,10,0,0
20160716,2016-07-16,11,17,40,50,62,26,0,0
20160720,2016-07-20,6,25,35,58,66,5,0,0
20160723,2016-07-23,5,7,23,35,39,11,0,0
20160727,2016-07-27,10,47,50,65,68,24,0,0
20160730,2016-07-30,11,17,21,23,32,5,0,0
20160803,2016-08-03,9,11,27,66,67,2,0,0
20160806,2016-08-06,20,33,36,47,52,12,0,0
20160810,2016-08-10,23,56,61,64,67,12,0,0
20160813,2016-08-13,38,44,60,64,69,6,0,0
20160817,2016-08-17,33,44,49,50,52,8,0,0
20160820,2016-08-20,3,6,21,60,68,24,0,0
20160824,2016-08-24,9,11,25,64,65,16,0,0
20160827,2016-08-27,4,32,48,49,63,20,0,0
20160831,2016-08-31,5,10,24,56,61,12,0,0
20160903,2016-09-03,7,39,50,59,67,25,0,0
20160907,2016-09-07,22,23,29,33,55,21,0,0
20160910,2016-09-10,3,17,49,55,68,8,0,0
20160914,2016-09-14,10,11,23,28,31,14,0,0
20160917,2016-09-17,9,19,51,55,62,14,0,0
20160921,2016-09-21,1,28,63,67,69,17,0,0
20160924,2016-09-24,7,15,20,29,41,22,0,0
20160928,2016-09-28,30,38,52,53,62,1,0,0
20161001,2016-10-01,2,12,50,61,64,1,0,0
20161005,2016-10-05,8,18,27,29,60,15,0,0
20161008,2016-10-08,3,54,61,64,68,9,0,0
20161012,2016-10-12,16,30,34,37,44,16,0,0
20161015,2016-10-15,23,49,57,64,67,20,0,0
20161019,2016-10-19,10,16,38,43,63,23,0,0
20161022,2016-10-22,1,28,33,55,56,22,0,0
20161026,2016-10-26,2,3,16,48,56,24,0,0
20161029,2016-10-29,19,20,21,42,48,23,0,0
20161102,2016-11-02,13,18,37,54,61,5,0,0
20161105,2016-11-05,21,31,50,51,69,8,0,0
20161109,2016-11-09,1,25,28,31,54,2,0,0
20161112,2016-11-12,8,17,20,27,52,24,0,0
20161116,2016-11-16,28,41,61,63,65,7,0,0
20161119,2016-11-19,16,24,28,43,61,21,0,0
20161123,2016-11-23,7,32,41,47,61,3,0,0
20161126,2016-11-26,17,19,21,37,44,16,0,0
20161130,2016-11-30,3,14,18,25,45,7,0,0
20161203,2016-12-03,8,10,26,27,33,22,0,0
20161207,2016-12-07,41,48,49,53,64,20,0,0
20161210,2016-12-10,12,21,32,44,66,15,0,0
20161214,2016-12-14,18,26,37,39,66,15,0,0
20161217,2016-12-17,1,8,16,40,48,10,0,0
20161221,2016-12-21,25,33,40,54,68,3,0,0
20161224,2016-12-24,28,38,42,51,52,21,0,0
20161228,2016-12-28,16,23,30,44,58,4,0,0
20161231,2016-12-31,1,3,28,57,67,9,0,0
20170104,2017-01-04,16,17,29,41,42,4,0,0
20170107,2017-01-07,3,12,24,37,63,10,0,0
20170111,2017-01-11,1,3,13,16,43,24,0,0
20170114,2017-01-14,23,55,59,64,69,13,0,0
20170118,2017-01-18,9,40,41,53,58,12,0,0
20170121,2017-01-21,23,25,45,52,67,2,0,0
20170125,2017-01-25,18,28,62,66,68,22,0,0
20170128,2017-01-28,12,20,39,49,69,17,0,0
20170201,2017-02-01,9,43,57,60,64,10,0,0
20170204,2017-02-04,6,13,16,17,52,25,0,0
20170208,2017-02-08,14,20,42,49,66,5,0,0
20170211,2017-02-11,5,9,17,37,64,2,0,0
20170215,2017-02-15,5,28,33,38,42,19,0,0
20170218,2017-02-18,3,7,9,31,33,20,0,0
20170222,2017-02-22,10,13,28,52,61,2,0,0
20170225,2017-02-25,6,32,47,62,65,19,0,0
20170301,2017-03-01,10,16,40,52,55,17,0,0
20170304,2017-03-04,2,18,19,22,63,19,0,0
20170308,2017-03-08,23,33,42,46,59,4,0,0
20170311,2017-03-11,1,26,41,50,57,11,0,0
20170315,2017-03-15,16,30,41,48,53,16,0,0
20170318,2017-03-18,13,25,44,54,67,5,0,0
20170322,2017-03-22,2,9,27,29,42,9,0,0
20170325,2017-03-25,18,31,32,45,48,16,0,0
20170329,2017-03-29,8,15,31,36,62,11,0,0
20170401,2017-04-01,9,32,36,44,65,1,0,0
20170405,2017-04-05,8,20,46,53,54,13,0,0
20170408,2017-04-08,23,36,51,53,60,15,0,0
20170412,2017-04-12,8,14,61,63,68,24,0,0
20170415,2017-04-15,5,22,26,45,61,13,0,0
20170419,2017-04-19,1,19,37,40,52,15,0,0
20170422,2017-04-22,21,39,41,48,63,6,0,0
20170426,2017-04-26,1,15,18,26,51,26,0,0
20170429,2017-04-29,22,23,24,45,62,5,0,0
20170503,2017-05-03,17,18,49,59,66,9,0,0
20170506,2017-05-06,11,21,31,41,59,21,0,0
20170510,2017-05-10,29,31,46,56,62,8,0,0
20170513,2017-05-13,17,20,32,63,68,19,0,0
20170517,2017-05-17,4,11,39,45,48,9,0,0
20170520,2017-05-20,5,22,45,47,54,3,0,0
20170524,2017-05-24,28,32,33,38,62,15,0,0
20170527,2017-05-27,5,10,28,55,67,9,0,0
20170531,2017-05-31,4,33,39,46,60,6,0,0
20170603,2017-06-03,3,9,21,41,54,25,0,0
20170607,2017-06-07,5,21,57,66,69,13,0,0
20170614,2017-06-14,5,22,43,57,63,24,0,0
20170617,2017-06-17,10,13,32,53,62,21,0,0
20170621,2017-06-21,14,46,61,65,68,13,0,0
20170624,2017-06-24,10,22,32,36,58,10,0,0
20170628,2017-06-28,29,37,46,53,68,8,0,0
20170701,2017-07-01,19,42,45,48,53,16,0,0
20170705,2017-07-05,4,9,16,54,68,21,0,0
20170708,2017-07-08,8,10,29,40,59,26,0,0
20170712,2017-07-12,1,2,18,23,61,9,0,0
20170715,2017-07-15,9,40,63,64,66,17,0,0
20170719,2017-07-19,50,51,59,61,63,4,0,0
20170722,2017-07-22,5,32,44,53,60,9,0,0
20170726,2017-07-26,7,19,21,42,69,12,0,0
20170729,2017-07-29,1,28,40,45,48,12,0,0
20170802,2017-08-02,1,16,54,63,69,18,0,0
20170805,2017-08-05,11,21,28,33,45,11,0,0
20170809,2017-08-09,12,30,36,47,62,9,0,0
20170812,2017-08-12,20,24,26,35,49,19,0,0
20170816,2017-08-16,9,15,43,60,64,4,0,0
20170819,2017-08-19,17,19,39,43,68,13,0,0
20170823,2017-08-23,6,7,16,23,26,4,0,0
20170826,2017-08-26,7,15,32,38,66,15,0,0
20170830,2017-08-30,19,28,43,67,69,7,0,0
20170902,2017-09-02,6,21,41,52,62,26,0,0
20170906,2017-09-06,8,14,32,58,67,17,0,0
20170909,2017-09-09,6,20,29,57,59,22,0,0
20170913,2017-09-13,17,24,35,57,63,19,0,0
20170916,2017-09-16,17,18,24,25,31,24,0,0
20170920,2017-09-20,39,48,53,67,68,26,0,0
20170923,2017-09-23,24,45,55,56,57,19,0,0
20170927,2017-09-27,8,10,21,23,25,22,0,0
20170930,2017-09-30,8,12,25,41,64,15,0,0
20171004,2017-10-04,22,23,62,63,66,24,0,0
20171007,2017-10-07,10,49,61,63,65,7,0,0
20171011,2017-10-11,1,3,13,19,69,23,0,0
20171014,2017-10-14,32,37,56,66,69,11,0,0
20171018,2017-10-18,30,49,54,66,69,8,0,0
20171021,2017-10-21,14,41,42,45,69,4,0,0
20171025,2017-10-25,18,22,29,54,57,8,0,0
20171028,2017-10-28,27,35,38,57,66,10,0,0
20171101,2017-11-01,3,6,19,26,44,1,0,0
20171104,2017-11-04,12,14,26,48,51,13,0,0
20171108,2017-11-08,12,14,20,21,34,22,0,0
20171111,2017-11-11,4,6,16,30,56,18,0,0
20171115,2017-11-15,23,32,44,48,50,25,0,0
20171118,2017-11-18,17,28,31,32,39,26,0,0
20171122,2017-11-22,35,37,46,51,61,13,0,0
20171125,2017-11-25,8,13,27,53,54,4,0,0
20171129,2017-11-29,24,26,28,59,63,16,0,0
20171202,2017-12-02,28,30,32,36,58,6,0,0
20171206,2017-12-06,19,20,50,55,62,9,0,0
20171209,2017-12-09,25,36,37,55,60,6,0,0
20171213,2017-12-13,2,24,28,51,58,7,0,0
20171216,2017-12-16,9,35,37,50,63,11,0,0
20171220,2017-12-20,1,20,61,64,69,20,0,0
20171223,2017-12-23,1,3,13,15,44,25,0,0
20171227,2017-12-27,3,9,16,56,60,3,0,0
20171230,2017-12-30,28,36,41,51,58,24,0,0
20180103,2018-01-03,2,18,37,39,42,12,0,0
20180106,2018-01-06,12,29,30,33,61,26,0,0
20180110,2018-01-10,7,24,33,49,50,4,0,0
20180113,2018-01-13,14,25,35,58,69,24,0,0
20180117,2018-01-17,3,33,37,51,57,21,0,0
20180120,2018-01-20,26,28,47,49,58,3,0,0
20180124,2018-01-24,5,9,11,33,64,21,0,0
20180127,2018-01-27,17,21,26,47,54,7,0,0
20180131,2018-01-31,4,7,14,46,59,22,0,0
20180203,2018-02-03,15,23,27,48,53,6,0,0
20180207,2018-02-07,23,34,35,40,47,10,0,0
20180210,2018-02-10,1,13,27,41,59,20,0,0
20180214,2018-02-14,37,39,44,46,69,26,0,0
20180217,2018-02-17,13,26,39,44,62,2,0,0
20180221,2018-02-21,7,15,31,34,36,8,0,0
20180224,2018-02-24,24,25,38,62,63,6,0,0
20180228,2018-02-28,12,30,59,65,69,16,0,0
20180303,2018-03-03,13,17,25,36,40,5,0,0
20180307,2018-03-07,6,13,19,36,51,18,0,0
20180310,2018-03-10,43,44,54,61,69,22,0,0
20180314,2018-03-14,6,12,24,41,68,9,0,0
20180317,2018-03-17,22,57,59,60,66,7,0,0
20180321,2018-03-21,3,4,18,29,61,25,0,0
20180324,2018-03-24,10,33,45,53,56,24,0,0
20180328,2018-03-28,6,8,26,52,53,21,0,0
20180331,2018-03-31,8,24,52,55,61,21,0,0
20180404,2018-04-04,8,24,42,54,64,24,0,0
20180407,2018-04-07,2,17,20,38,39,20,0,0
20180411,2018-04-11,16,18,27,55,67,18,0,0
20180414,2018-04-14,17,19,26,61,62,15,0,0
20180418,2018-04-18,9,10,12,17,23,9,0,0
20180421,2018-04-21,40,50,54,62,69,19,0,0
20180425,2018-04-25,17,18,39,56,64,12,0,0
20180428,2018-04-28,20,22,28,45,50,8,0,0
20180502,2018-05-02,5,14,31,40,50,6,0,0
20180505,2018-05-05,14,29,36,57,61,17,0,0
20180509,2018-05-09,11,16,38,50,69,19,0,0
20180512,2018-05-12,22,42,45,55,56,14,0,0
20180516,2018-05-16,17,19,21,22,51,19,0,0
20180519,2018-05-19,3,6,9,17,56,25,0,0
20180523,2018-05-23,20,54,56,61,64,7,0,0
20180526,2018-05-26,1,21,31,45,49,21,0,0
20180530,2018-05-30,17,23,26,46,68,20,0,0
20180602,2018-06-02,23,25,37,44,64,7,0,0
20180606,2018-06-06,23,28,41,53,56,14,0,0
20180609,2018-06-09,6,10,15,25,36,14,0,0
20180613,2018-06-13,13,20,38,45,55,1,0,0
20180616,2018-06-16,9,45,57,58,65,9,0,0
20180620,2018-06-20,4,14,23,27,56,13,0,0
20180623,2018-06-23,16,29,43,45,56,25,0,0
20180627,2018-06-27,7,28,37,62,63,15,0,0
20180630,2018-06-30,3,9,20,42,61,24,0,0
20180704,2018-07-04,4,7,15,41,44,10,0,0
20180707,2018-07-07,1,10,43,45,64,22,0,0
20180711,2018-07-11,19,21,27,46,47,7,0,0
20180714,2018-07-14,22,41,42,49,67,11,0,0
20180718,2018-07-18,1,10,27,28,36,12,0,0
20180721,2018-07-21,9,23,56,58,68,1,0,0
20180725,2018-07-25,2,18,41,44,64,26,0,0
20180728,2018-07-28,22,27,46,56,65,13,0,0
20180801,2018-08-01,5,22,32,38,58,26,0,0
20180804,2018-08-04,3,11,38,44,58,2,0,0
20180808,2018-08-08,10,21,30,43,63,17,0,0
20180811,2018-08-11,5,43,56,62,68,24,0,0
20180815,2018-08-15,12,15,28,47,48,16,0,0
20180818,2018-08-18,24,34,52,61,67,16,0,0
20180822,2018-08-22,1,7,45,47,69,13,0,0
20180825,2018-08-25,20,25,54,57,63,8,0,0
20180829,2018-08-29,25,41,53,57,67,12,0,0
20180901,2018-09-01,11,54,55,61,66,9,0,0
20180905,2018-09-05,6,15,50,59,60,13,0,0
20180908,2018-09-08,3,13,20,32,33,21,0,0
20180912,2018-09-12,6,28,48,63,64,24,0,0
20180915,2018-09-15,2,18,19,24,34,3,0,0
20180919,2018-09-19,4,39,48,50,51,11,0,0
20180922,2018-09-22,24,61,63,64,69,18,0,0
20180926,2018-09-26,1,2,7,30,50,8,0,0
20180929,2018-09-29,9,17,34,59,64,22,0,0
20181003,2018-10-03,41,53,59,63,66,3,0,0
20181006,2018-10-06,1,22,27,53,67,15,0,0
20181010,2018-10-10,8,23,27,42,60,7,0,0
20181013,2018-10-13,11,14,32,43,65,15,0,0
20181017,2018-10-17,3,57,64,68,69,15,0,0
20181020,2018-10-20,16,54,57,62,69,23,0,0
20181024,2018-10-24,3,21,45,53,56,22,0,0
20181027,2018-10-27,8,12,13,19,27,4,0,0
20181031,2018-10-31,7,25,39,40,47,20,0,0
20181103,2018-11-03,15,21,24,32,65,11,0,0
20181107,2018-11-07,26,28,34,42,50,25,0,0
20181110,2018-11-10,5,29,34,53,57,24,0,0
20181114,2018-11-14,7,42,49,62,69,23,0,0
20181117,2018-11-17,6,8,20,52,68,5,0,0
